,0
0,0.5047770738601685
1,0.5047724843025208
2,0.5048205256462097
3,0.23220819234848022
4,0.5048205256462097
5,0.5061311721801758
6,0.2019062489271164
7,0.0
8,0.00297696515917778
9,0.05823438987135887
10,0.49867504835128784
11,0.002980436198413372
12,0.510881781578064
13,0.44497451186180115
14,0.9999934434890747
15,0.5050723552703857
16,0.3929261863231659
17,0.9636707305908203
18,0.5047355890274048
19,0.5047809481620789
20,0.5047346949577332
21,0.0011448904406279325
22,0.5047127604484558
23,0.5047350525856018
24,0.5047590136528015
25,0.5410969853401184
26,0.5082142949104309
27,0.509272038936615
28,0.48964476585388184
29,0.06505203247070312
30,0.32980045676231384
31,0.9436578750610352
32,0.2800441384315491
33,8.664000233693514e-06
34,0.5047560334205627
35,0.7992866635322571
36,0.05823836103081703
37,0.23331429064273834
38,0.5047350525856018
39,0.5251786112785339
40,0.5047639012336731
41,0.3929261863231659
42,0.5047355890274048
43,0.5048596858978271
44,0.5047350525856018
45,0.0004870904376730323
46,0.16854329407215118
47,0.3791513442993164
48,0.5047703981399536
49,0.7980303168296814
50,0.5047350525856018
51,0.0
52,0.5052102208137512
53,0.4037882089614868
54,0.5047350525856018
55,0.00010434060823172331
56,0.010435731150209904
57,0.40007996559143066
58,0.5047596096992493
59,0.0531526654958725
60,0.5047350525856018
61,0.5047350525856018
62,0.5047350525856018
63,0.07611148804426193
64,0.5249658823013306
65,0.6135585308074951
66,0.4542533755302429
67,0.11585108935832977
68,0.5047061443328857
69,0.5047429800033569
70,0.5047350525856018
71,0.5047366619110107
72,0.5047252774238586
73,0.5057311654090881
74,0.0
75,0.5201521515846252
76,0.503149688243866
77,0.0050842054188251495
78,0.3031432330608368
79,0.022654857486486435
80,0.5178499221801758
81,0.019909463822841644
82,0.0030993360560387373
83,0.5047367811203003
84,0.5048128962516785
85,0.009655633009970188
86,0.9990211725234985
87,0.03226996585726738
88,0.08296392858028412
89,0.9013822078704834
90,0.0008308870019391179
91,0.3203202486038208
92,0.5309944152832031
93,0.5491065979003906
94,0.505266547203064
95,0.9999915361404419
96,0.5047350525856018
97,0.5048186779022217
98,0.43551403284072876
99,0.3146151304244995
100,0.8819661140441895
101,0.3510679602622986
102,0.47002923488616943
103,1.2984861541553983e-07
104,0.5050706267356873
105,0.029611602425575256
106,0.891973078250885
107,0.9715004563331604
108,0.5047417283058167
109,0.0011309534311294556
110,0.32698819041252136
111,0.8054150342941284
112,0.2424781173467636
113,1.851752858783584e-05
114,0.1167093887925148
115,0.5047937631607056
116,0.5047355890274048
117,7.928233571874443e-06
118,0.9964465498924255
119,0.5047263503074646
120,0.5055189728736877
121,0.018750939518213272
122,0.279575377702713
123,0.09870849549770355
124,0.5047441720962524
125,0.3408724069595337
126,0.5047350525856018
127,0.5052696466445923
